Date,nom. exch. Rate USD-EUR,Comparison
2023-04-21,100.7424,positiv
2023-04-20,100.8638,positiv
2023-04-19,100.91,positiv
2023-04-18,100.4425,positiv
2023-04-17,100.3804,positiv
2023-04-16,,empty
2023-04-15,,empty
2023-04-14,99.7406,negativ
2023-04-13,100.1263,positiv
2023-04-12,100.891,positiv
2023-04-11,100.9313,positiv
2023-04-10,,empty
2023-04-09,,empty
2023-04-08,,empty
2023-04-07,,empty
2023-04-06,100.5822,positiv
2023-04-05,100.409,positiv
2023-04-04,100.7053,positiv
2023-04-03,100.9479,positiv
2023-04-02,,empty
2023-04-01,,empty
2023-03-31,101.0781,positiv
2023-03-30,100.9398,positiv
2023-03-29,101.1736,positiv
2023-03-28,101.0813,positiv
2023-03-27,101.559,positiv
2023-03-26,,empty
2023-03-25,,empty
2023-03-24,101.7154,positiv
2023-03-23,100.965,positiv
2023-03-22,101.6757,positiv
2023-03-21,101.65,positiv
2023-03-20,101.8357,positiv
2023-03-19,,empty
2023-03-18,,empty
2023-03-17,102.4581,positiv
2023-03-16,102.6824,positiv
2023-03-15,102.8753,positiv
2023-03-14,102.0175,positiv
2023-03-13,102.2059,positiv
2023-03-12,,empty
2023-03-11,,empty
2023-03-10,103.444,positiv
2023-03-09,103.6275,positiv
2023-03-08,103.6999,positiv
2023-03-07,102.7107,positiv
2023-03-06,102.6196,positiv
2023-03-05,,empty
2023-03-04,,empty
2023-03-03,102.8106,positiv
2023-03-02,103.0623,positiv
2023-03-01,102.3666,positiv
2023-02-28,102.7901,positiv
2023-02-27,103.1613,positiv
2023-02-26,,empty
2023-02-25,,empty
2023-02-24,102.9747,positiv
2023-02-23,102.4369,positiv
2023-02-22,102.2409,positiv
2023-02-21,102.0135,positiv
2023-02-20,101.954,positiv
2023-02-19,,empty
2023-02-18,,empty
2023-02-17,102.4752,positiv
2023-02-16,101.7012,positiv
2023-02-15,101.6957,positiv
2023-02-14,100.8727,positiv
2023-02-13,101.4128,positiv
2023-02-12,,empty
2023-02-11,,empty
2023-02-10,101.311,positiv
2023-02-09,100.7695,positiv
2023-02-08,101.0899,positiv
2023-02-07,101.5024,positiv
2023-02-06,101.0904,positiv
2023-02-05,,empty
2023-02-04,,empty
2023-02-03,99.6285,negativ
2023-02-02,99.2213,negativ
2023-02-01,99.8026,negativ
2023-01-31,100.4072,positiv
2023-01-30,99.7579,negativ
2023-01-29,,empty
2023-01-28,,empty
2023-01-27,99.9262,negativ
2023-01-26,99.8036,negativ
2023-01-25,99.9616,negativ
2023-01-24,100.1628,positiv
2023-01-23,99.9853,negativ
2023-01-22,,empty
2023-01-21,,empty
2023-01-20,100.3474,positiv
2023-01-19,100.3246,positiv
2023-01-18,99.9667,negativ
2023-01-17,100.2019,positiv
2023-01-16,100.3334,positiv
2023-01-15,,empty
2023-01-14,,empty
2023-01-13,100.3757,positiv
2023-01-12,100.8098,positiv
2023-01-11,101.1799,positiv
2023-01-10,101.1809,positiv
2023-01-09,101.1412,positiv
2023-01-08,,empty
2023-01-07,,empty
2023-01-06,103.1113,positiv
2023-01-05,102.1081,positiv
2023-01-04,101.9631,positiv
2023-01-03,102.4709,positiv
2023-01-02,101.6111,positiv
2023-01-01,,empty
2022-12-31,,empty
2022-12-30,101.6936,positiv
2022-12-29,102.0962,positiv
2022-12-28,101.932,positiv
2022-12-27,102.1245,positiv
2022-12-26,,empty
2022-12-25,,empty
2022-12-24,,empty
2022-12-23,102.1506,positiv
2022-12-22,102.0867,positiv
2022-12-21,102.0022,positiv
2022-12-20,102.3296,positiv
2022-12-19,102.756,positiv
2022-12-18,,empty
2022-12-17,,empty
2022-12-16,102.7746,positiv
2022-12-15,102.4805,positiv
2022-12-14,101.9688,positiv
2022-12-13,102.8815,positiv
2022-12-12,102.8658,positiv
2022-12-11,,empty
2022-12-10,,empty
2022-12-09,102.6497,positiv
2022-12-08,103.0916,positiv
2022-12-07,103.2332,positiv
2022-12-06,103.0841,positiv
2022-12-05,102.1259,positiv
2022-12-04,,empty
2022-12-03,,empty
2022-12-02,102.2807,positiv
2022-12-01,103.0196,positiv
2022-11-30,103.995,positiv
2022-11-29,104.0253,positiv
2022-11-28,103.5256,positiv
2022-11-27,,empty
2022-11-26,,empty
2022-11-25,103.8482,positiv
2022-11-24,103.4633,positiv
2022-11-23,104.5735,positiv
2022-11-22,104.849,positiv
2022-11-21,105.2215,positiv
2022-11-20,,empty
2022-11-19,,empty
2022-11-18,104.164,positiv
2022-11-17,104.6225,positiv
2022-11-16,103.6124,positiv
2022-11-15,103.5924,positiv
2022-11-14,104.2605,positiv
2022-11-13,,empty
2022-11-12,,empty
2022-11-11,104.2623,positiv
2022-11-10,107.7052,positiv
2022-11-09,107.074,positiv
2022-11-08,107.4327,positiv
2022-11-07,107.4397,positiv
2022-11-06,,empty
2022-11-05,,empty
2022-11-04,108.4748,positiv
2022-11-03,109.8482,positiv
2022-11-02,108.2254,positiv
2022-11-01,107.8846,positiv
2022-10-31,108.5781,positiv
2022-10-30,,empty
2022-10-29,,empty
2022-10-28,108.1222,positiv
2022-10-27,107.6521,positiv
2022-10-26,107.546,positiv
2022-10-25,109.2083,positiv
2022-10-24,109.2442,positiv
2022-10-23,,empty
2022-10-22,,empty
2022-10-21,110.5778,positiv
2022-10-20,109.5224,positiv
2022-10-19,109.7786,positiv
2022-10-18,109.2103,positiv
2022-10-17,109.9226,positiv
2022-10-16,,empty
2022-10-15,,empty
2022-10-14,110.0278,positiv
2022-10-13,109.6867,positiv
2022-10-12,110.0137,positiv
2022-10-11,109.7829,positiv
2022-10-10,109.8242,positiv
2022-10-09,,empty
2022-10-08,,empty
2022-10-07,108.9458,positiv
2022-10-06,108.4814,positiv
2022-10-05,108.0917,positiv
2022-10-04,108.3933,positiv
2022-10-03,109.2981,positiv
2022-10-02,,empty
2022-10-01,,empty
2022-09-30,109.4614,positiv
2022-09-29,109.7466,positiv
2022-09-28,110.8404,positiv
2022-09-27,109.9522,positiv
2022-09-26,110.0098,positiv
2022-09-25,,empty
2022-09-24,,empty
2022-09-23,108.7151,positiv
2022-09-22,107.4314,positiv
2022-09-21,107.459,positiv
2022-09-20,106.8093,positiv
2022-09-19,106.8782,positiv
2022-09-18,,empty
2022-09-17,,empty
2022-09-16,106.9071,positiv
2022-09-15,106.5204,positiv
2022-09-14,106.4507,positiv
2022-09-13,104.8281,positiv
2022-09-12,105.0173,positiv
2022-09-11,,empty
2022-09-10,,empty
2022-09-09,105.7082,positiv
2022-09-08,106.2731,positiv
2022-09-07,107.2778,positiv
2022-09-06,106.443,positiv
2022-09-05,106.4438,positiv
2022-09-04,,empty
2022-09-03,,empty
2022-09-02,106.0044,positiv
2022-09-01,105.7848,positiv
2022-08-31,105.5392,positiv
2022-08-30,105.0419,positiv
2022-08-29,105.3948,positiv
2022-08-28,,empty
2022-08-27,,empty
2022-08-26,104.6755,positiv
2022-08-25,104.7885,positiv
2022-08-24,105.1645,positiv
2022-08-23,105.3596,positiv
2022-08-22,104.8929,positiv
2022-08-21,,empty
2022-08-20,,empty
2022-08-19,104.586,positiv
2022-08-18,103.3736,positiv
2022-08-17,103.4698,positiv
2022-08-16,103.5017,positiv
2022-08-15,103.0216,positiv
2022-08-14,,empty
2022-08-13,,empty
2022-08-12,102.4042,positiv
2022-08-11,101.8948,positiv
2022-08-10,102.9082,positiv
2022-08-09,103.0114,positiv
2022-08-08,103.1477,positiv
2022-08-07,,empty
2022-08-06,,empty
2022-08-05,102.762,positiv
2022-08-04,103.0776,positiv
2022-08-03,102.9706,positiv
2022-08-02,102.5726,positiv
2022-08-01,102.4474,positiv
2022-07-31,,empty
2022-07-30,,empty
2022-07-29,102.9716,positiv
2022-07-28,103.5207,positiv
2022-07-27,103.6553,positiv
2022-07-26,103.8656,positiv
2022-07-25,103.2864,positiv
2022-07-24,,empty
2022-07-23,,empty
2022-07-22,103.6086,positiv
2022-07-21,103.9521,positiv
2022-07-20,103.7667,positiv
2022-07-19,103.587,positiv
2022-07-18,104.3396,positiv
2022-07-17,,empty
2022-07-16,,empty
2022-07-15,105.0073,positiv
2022-07-14,105.4086,positiv
2022-07-13,104.4666,positiv
2022-07-12,104.7957,positiv
2022-07-11,104.4706,positiv
2022-07-10,,empty
2022-07-09,,empty
2022-07-08,103.8542,positiv
2022-07-07,103.8192,positiv
2022-07-06,104.0006,positiv
2022-07-05,103.414,positiv
2022-07-04,102.2031,positiv
2022-07-03,,empty
2022-07-02,,empty
2022-07-01,102.6185,positiv
2022-06-30,102.7413,positiv
2022-06-29,102.0102,positiv
2022-06-28,101.7013,positiv
2022-06-27,101.6557,positiv
2022-06-26,,empty
2022-06-25,,empty
2022-06-24,101.9801,positiv
2022-06-23,102.2252,positiv
2022-06-22,102.173,positiv
2022-06-21,101.9565,positiv
2022-06-20,101.9939,positiv
2022-06-19,,empty
2022-06-18,,empty
2022-06-17,102.11,positiv
2022-06-16,102.3327,positiv
2022-06-15,102.5609,positiv
2022-06-14,102.4375,positiv
2022-06-13,102.1736,positiv
2022-06-12,,empty
2022-06-11,,empty
2022-06-10,101.0662,positiv
2022-06-09,99.974,negativ
2022-06-08,99.9303,negativ
2022-06-07,100.2708,positiv
2022-06-06,99.5433,negativ
2022-06-05,,empty
2022-06-04,,empty
2022-06-03,99.4532,negativ
2022-06-02,99.704,negativ
2022-06-01,99.5438,negativ
2022-05-31,99.4508,negativ
2022-05-30,99.1308,negativ
2022-05-29,,empty
2022-05-28,,empty
2022-05-27,99.4085,negativ
2022-05-26,99.8097,negativ
2022-05-25,100.1467,positiv
