Adj Close,FEDFUNDS
16.75,0.12
16.855,0.12
18.01,0.12
17.940001,0.11
18.370001,0.13
19.67,0.16
20.09,0.2
19.559999,0.2
19.02,0.18
19.209999,0.18
19.4,0.19
19.440001,0.19
19.559999,0.19
20.49,0.19
21.5,0.18
21.34,0.17
21.879999,0.16
21.040001,0.14
20.969999,0.1
21.190001,0.09
20.73,0.09
20.59,0.07
19.09,0.1
18.709999,0.08
19.889999,0.07
19.99,0.08
20.799999,0.07
21.58,0.08
22.209999,0.1
22.530001,0.13
22.389999,0.14
21.84,0.16
22.41,0.16
23.450001,0.16
23.540001,0.13
23.549999,0.14
23.190001,0.16
23.440001,0.16
23.389999,0.16
24.059999,0.14
25.01,0.15
26.07,0.14
26.16,0.15
26.860001,0.11
26.01,0.09
26.860001,0.09
26.25,0.08
26.969999,0.08
27.99,0.09
28.41,0.08
28.51,0.09
28.059999,0.07
28.92,0.07
28.92,0.08
29.02,0.09
30.1,0.09
30.559999,0.1
30.83,0.09
31.969999,0.09
32.560001,0.09
32.950001,0.09
33.889999,0.09
34.32,0.12
36.07,0.11
38.439999,0.11
39.52,0.11
38.84,0.12
39.580002,0.12
38.139999,0.13
39.279999,0.13
36.080002,0.14
34.779999,0.14
38.169998,0.12
39.66,0.12
38.029999,0.24
35.450001,0.34
35.59,0.38
35.990002,0.36
36.049999,0.37
37.560001,0.37
37.139999,0.38
38.57,0.39
38.669998,0.4
38.709999,0.4
38.91,0.4
41.0,0.41
42.18,0.54
41.77,0.65
43.860001,0.66
44.07,0.79
43.799999,0.9
43.310001,0.91
42.900002,1.04
42.549999,1.15
42.200001,1.16
43.41,1.15
44.889999,1.15
44.799999,1.16
45.43,1.3
45.868999,1.41
45.053001,1.42
43.403,1.51
45.098,1.69
46.741001,1.7
46.839001,1.82
47.997002,1.91
48.903999,1.91
49.259998,1.95
46.841,2.19
47.036999,2.2
43.098999,2.27
46.497002,2.4
48.346001,2.4
49.556,2.41
51.362,2.42
48.903999,2.39
50.810001,2.38
52.644001,2.4
51.776001,2.13
53.448002,2.04
53.400002,1.83
55.75,1.55
56.608002,1.55
56.751999,1.55
51.712002,1.58
46.109001,0.65
50.556,0.05
51.816002,0.05
52.698002,0.08
52.532001,0.09
55.664001,0.1
54.967999,0.09
53.459999,0.09
58.588001,0.09
59.712002,0.09
59.966,0.09
61.888,0.08
65.694,0.07
66.970001,0.07
66.769997,0.06
69.933998,0.08
71.216003,0.1
73.433998,0.09
72.014,0.08
75.708,0.08
76.195999,0.08
79.246002,0.08
74.933998,0.08
73.652,0.08
77.098,0.2
75.089996,0.33
72.491997,0.77
67.886002,1.21
74.851997,1.68
73.428001,2.33
69.260002,2.56
72.402,3.08
72.620003,3.78
68.477997,4.1
71.818001,4.33
72.244003,4.57
72.377998,4.65
72.566002,4.83
