,Unnamed: 0,Date,Adj Close,Volume,ezb_funds,fed_funds_for_banks,fed_funds_for_customer,Monthly Return,Comparison
0,0,2009-10-01,16.75,850.0,1.0,0.12,3.25,0.0,stabil
1,1,2009-11-01,16.855,1066.0,1.0,0.12,3.25,0.6268656716417936,positive
2,2,2009-12-01,18.01,1117.0,1.0,0.12,3.25,6.8525660041530765,positive
3,3,2010-01-01,17.940001,2789.0,1.0,0.11,3.25,-0.3886674069961288,negative
4,4,2010-02-01,18.370001,96452.0,1.0,0.13,3.25,2.3968783502297453,positive
5,5,2010-03-01,19.67,104653.0,1.0,0.16,3.25,7.076749750857409,positive
6,6,2010-04-01,20.09,49466.0,1.0,0.2,3.25,2.135231316725969,positive
7,7,2010-05-01,19.559999,61775.0,1.0,0.2,3.25,-2.638133399701337,negative
8,8,2010-06-01,19.02,14847.0,1.0,0.18,3.25,-2.760731224986267,negative
9,9,2010-07-01,19.209999,18603.0,1.0,0.18,3.25,0.9989432176656164,positive
10,10,2010-08-01,19.4,384312.0,1.0,0.19,3.25,0.9890734507586324,positive
11,11,2010-09-01,19.440001,11275.0,1.0,0.19,3.25,0.2061907216494854,positive
12,12,2010-10-01,19.559999,38508.0,1.0,0.19,3.25,0.6172736307986944,positive
13,13,2010-11-01,20.49,146865.0,1.0,0.19,3.25,4.754606582546335,positive
14,14,2010-12-01,21.5,38671.0,1.0,0.18,3.25,4.929233772571994,positive
15,15,2011-01-01,21.34,244736.0,1.0,0.17,3.25,-0.7441860465116286,negative
16,16,2011-02-01,21.879999,25262.0,1.0,0.16,3.25,2.5304545454545533,positive
17,17,2011-03-01,21.040001,128192.0,1.0,0.14,3.25,-3.839113520983256,negative
18,18,2011-04-01,20.969999,27795.0,1.15,0.1,3.25,-0.3327091096621087,negative
19,19,2011-05-01,21.190001,33355.0,1.25,0.09,3.25,1.049127374779547,positive
20,20,2011-06-01,20.73,65663.0,1.25,0.09,3.25,-2.170839916430388,negative
21,21,2011-07-01,20.59,145674.0,1.403225806451613,0.07,3.25,-0.6753497346840356,negative
22,22,2011-08-01,19.09,189383.0,1.5,0.1,3.25,-7.285089849441477,negative
23,23,2011-09-01,18.709999,111566.0,1.5,0.08,3.25,-1.990576217915139,negative
24,24,2011-10-01,19.889999,45736.0,1.5,0.07,3.25,6.306788151084347,positive
25,25,2011-11-01,19.99,384411.0,1.3166666666666669,0.08,3.25,0.5027702615771821,positive
26,26,2011-12-01,20.799999,115356.0,1.1048387096774193,0.07,3.25,4.05202101050526,positive
27,27,2012-01-01,21.58,265107.0,1.0,0.08,3.25,3.7500049879810025,positive
28,28,2012-02-01,22.209999,207611.0,1.0,0.1,3.25,2.919365152919377,positive
29,29,2012-03-01,22.530001,326002.0,1.0,0.13,3.25,1.4408015056641776,positive
30,30,2012-04-01,22.389999,103839.0,1.0,0.14,3.25,-0.621402546764197,negative
31,31,2012-05-01,21.84,235716.0,1.0,0.16,3.25,-2.456449417438561,negative
32,32,2012-06-01,22.41,116096.0,1.0,0.16,3.25,2.6098901098901117,positive
33,33,2012-07-01,23.450001,256168.0,0.8306451612903226,0.16,3.25,4.64078982597055,positive
34,34,2012-08-01,23.540001,255700.0,0.75,0.13,3.25,0.3837952928019059,positive
35,35,2012-09-01,23.549999,587698.0,0.75,0.14,3.25,0.0424723856213918,positive
36,36,2012-10-01,23.190001,176183.0,0.75,0.16,3.25,-1.528653992724165,negative
37,37,2012-11-01,23.440001,194975.0,0.75,0.16,3.25,1.0780508375139786,positive
38,38,2012-12-01,23.389999,49138.0,0.75,0.16,3.25,-0.2133191035273386,negative
39,39,2013-01-01,24.059999,234218.0,0.75,0.14,3.25,2.8644721190454163,positive
40,40,2013-02-01,25.01,231814.0,0.75,0.15,3.25,3.948466498273754,positive
41,41,2013-03-01,26.07,219536.0,0.75,0.14,3.25,4.238304678128743,positive
42,42,2013-04-01,26.16,213025.0,0.75,0.15,3.25,0.3452243958573067,positive
43,43,2013-05-01,26.860001,94926.0,0.5564516129032258,0.11,3.25,2.675844801223243,positive
44,44,2013-06-01,26.01,515849.0,0.5,0.09,3.25,-3.164560567216654,negative
45,45,2013-07-01,26.860001,267071.0,0.5,0.09,3.25,3.267977700884271,positive
46,46,2013-08-01,26.25,618996.0,0.5,0.08,3.25,-2.271038634734229,negative
47,47,2013-09-01,26.969999,872671.0,0.5,0.08,3.25,2.7428533333333385,positive
48,48,2013-10-01,27.99,681861.0,0.5,0.09,3.25,3.781983825805841,positive
49,49,2013-11-01,28.41,726376.0,0.35,0.08,3.25,1.5005359056806065,positive
50,50,2013-12-01,28.51,605148.0,0.25,0.09,3.25,0.3519887363604415,positive
51,51,2014-01-01,28.059999,831607.0,0.25,0.07,3.25,-1.5783970536653815,negative
52,52,2014-02-01,28.92,445910.0,0.25,0.07,3.25,3.0648646851341668,positive
53,53,2014-03-01,28.92,749540.0,0.25,0.08,3.25,0.0,stabil
54,54,2014-04-01,29.02,774855.0,0.25,0.09,3.25,0.3457814661134089,positive
55,55,2014-05-01,30.1,797343.0,0.25,0.09,3.25,3.721571330117167,positive
56,56,2014-06-01,30.559999,887817.0,0.1833333333333333,0.1,3.25,1.5282358803986704,positive
57,57,2014-07-01,30.83,2519039.0,0.15,0.09,3.25,0.883511154565146,positive
58,58,2014-08-01,31.969999,1441582.0,0.15,0.09,3.25,3.697693804735657,positive
59,59,2014-09-01,32.560001,982123.0,0.08,0.09,3.25,1.8454864512194649,positive
60,60,2014-10-01,32.950001,2339151.0,0.05,0.09,3.25,1.1977886610015784,positive
61,61,2014-11-01,33.889999,1900720.0,0.05,0.09,3.25,2.8528011273808542,positive
62,62,2014-12-01,34.32,2721086.0,0.05,0.12,3.25,1.2688138468224717,positive
