Date,Open,High,Low,Close,Adj Close,Volume
2009-10-01,17.209999,17.280001,16.610001,16.750000,16.750000,850
2009-11-01,16.750000,17.379999,16.510000,16.855000,16.855000,1066
2009-12-01,16.855000,18.129999,16.855000,18.010000,18.010000,1117
2010-01-01,18.010000,18.600000,17.770000,17.940001,17.940001,2789
2010-02-01,17.950001,18.620001,17.629999,18.370001,18.370001,96452
2010-03-01,18.490000,19.910000,18.490000,19.670000,19.670000,104653
2010-04-01,19.809999,20.469999,19.809999,20.090000,20.090000,49466
2010-05-01,20.110001,20.450001,18.639999,19.559999,19.559999,61775
2010-06-01,19.450001,20.299999,19.020000,19.020000,19.020000,14847
2010-07-01,18.750000,19.549999,18.299999,19.209999,19.209999,18603
2010-08-01,19.370001,19.570000,18.879999,19.400000,19.400000,384312
2010-09-01,19.080000,20.100000,19.080000,19.440001,19.440001,11275
2010-10-01,19.299999,19.680000,19.150000,19.559999,19.559999,38508
2010-11-01,19.610001,20.530001,19.580000,20.490000,20.490000,146865
2010-12-01,20.490000,22.299999,20.490000,21.500000,21.500000,38671
2011-01-01,21.670000,22.340000,21.299999,21.340000,21.340000,244736
2011-02-01,21.450001,22.459999,21.450001,21.879999,21.879999,25262
2011-03-01,21.900000,21.900000,20.170000,21.040001,21.040001,128192
2011-04-01,21.160000,21.270000,20.650000,20.969999,20.969999,27795
2011-05-01,21.280001,21.520000,20.680000,21.190001,21.190001,33355
2011-06-01,21.219999,21.219999,20.100000,20.730000,20.730000,65663
2011-07-01,20.770000,21.500000,20.590000,20.590000,20.590000,145674
2011-08-01,20.760000,20.760000,17.500000,19.090000,19.090000,189383
2011-09-01,19.180000,19.700001,18.139999,18.709999,18.709999,111566
2011-10-01,18.500000,20.250000,18.010000,19.889999,19.889999,45736
2011-11-01,19.469999,20.080000,18.700001,19.990000,19.990000,384411
2011-12-01,19.990000,20.799999,19.900000,20.799999,20.799999,115356
2012-01-01,21.209999,21.840000,21.059999,21.580000,21.580000,265107
2012-02-01,21.750000,22.469999,21.750000,22.209999,22.209999,207611
2012-03-01,22.309999,23.000000,22.000000,22.530001,22.530001,326002
2012-04-01,22.549999,22.780001,21.980000,22.389999,22.389999,103839
2012-05-01,22.389999,22.610001,21.170000,21.840000,21.840000,235716
2012-06-01,21.459999,22.410000,21.160000,22.410000,22.410000,116096
2012-07-01,22.620001,23.650000,22.600000,23.450001,23.450001,256168
2012-08-01,23.469999,24.200001,23.309999,23.540001,23.540001,255700
2012-09-01,23.500000,23.930000,23.350000,23.549999,23.549999,587698
2012-10-01,23.680000,23.809999,23.139999,23.190001,23.190001,176183
2012-11-01,23.309999,23.799999,22.700001,23.440001,23.440001,194975
2012-12-01,23.500000,23.830000,23.219999,23.389999,23.389999,49138
2013-01-01,23.389999,24.440001,23.389999,24.059999,24.059999,234218
2013-02-01,24.080000,25.049999,24.030001,25.010000,25.010000,231814
2013-03-01,25.030001,26.129999,25.030001,26.070000,26.070000,219536
2013-04-01,26.070000,26.370001,25.240000,26.160000,26.160000,213025
2013-05-01,26.160000,27.860001,26.059999,26.860001,26.860001,94926
2013-06-01,26.549999,26.650000,24.940001,26.010000,26.010000,515849
2013-07-01,26.040001,27.240000,25.930000,26.860001,26.860001,267071
2013-08-01,26.990000,27.240000,26.020000,26.250000,26.250000,618996
2013-09-01,26.580000,27.610001,26.570000,26.969999,26.969999,872671
2013-10-01,27.010000,28.000000,26.500000,27.990000,27.990000,681861
2013-11-01,27.969999,28.590000,27.969999,28.410000,28.410000,726376
2013-12-01,28.420000,28.600000,27.270000,28.510000,28.510000,605148
2014-01-01,28.510000,29.200001,27.600000,28.059999,28.059999,831607
2014-02-01,28.150000,28.969999,27.450001,28.920000,28.920000,445910
2014-03-01,29.049999,29.150000,28.049999,28.920000,28.920000,749540
2014-04-01,29.010000,29.389999,28.150000,29.020000,29.020000,774855
2014-05-01,29.020000,30.150000,28.700001,30.100000,30.100000,797343
2014-06-01,30.209999,30.930000,30.070000,30.559999,30.559999,887817
2014-07-01,30.639999,31.400000,30.370001,30.830000,30.830000,2519039
2014-08-01,30.760000,31.969999,29.920000,31.969999,31.969999,1441582
2014-09-01,32.040001,32.770000,31.950001,32.560001,32.560001,982123
2014-10-01,32.410000,33.060001,29.360001,32.950001,32.950001,2339151
2014-11-01,32.990002,34.000000,32.490002,33.889999,33.889999,1900720
2014-12-01,33.660000,34.529999,31.660000,34.320000,34.320000,2721086
2015-01-01,34.320000,37.150002,33.529999,36.070000,36.070000,3706869
2015-02-01,36.000000,38.459999,35.709999,38.439999,38.439999,1713803
2015-03-01,38.500000,40.230000,38.220001,39.520000,39.520000,2236751
2015-04-01,39.180000,41.020000,38.680000,38.840000,38.840000,2151738
2015-05-01,38.840000,40.430000,37.529999,39.580002,39.580002,2869536
2015-06-01,39.860001,40.000000,37.779999,38.139999,38.139999,2066347
2015-07-01,38.389999,40.389999,37.799999,39.279999,39.279999,2039447
2015-08-01,39.330002,39.980000,32.000000,36.080002,36.080002,2736601
2015-09-01,35.419998,36.480000,33.700001,34.779999,34.779999,2366225
2015-10-01,35.349998,38.470001,34.139999,38.169998,38.169998,4065215
2015-11-01,37.869999,39.770000,37.770000,39.660000,39.660000,1950790
2015-12-01,39.840000,39.970001,36.169998,38.029999,38.029999,3721976
2016-01-01,38.029999,38.029999,33.299999,35.450001,35.450001,3263908
2016-02-01,35.630001,35.630001,31.700001,35.590000,35.590000,2898793
2016-03-01,35.369999,36.990002,35.230000,35.990002,35.990002,2767041
2016-04-01,35.669998,37.509998,35.250000,36.049999,36.049999,2442438
2016-05-01,36.380001,37.750000,35.000000,37.560001,37.560001,1648713
2016-06-01,37.560001,37.619999,35.610001,37.139999,37.139999,2378284
2016-07-01,37.400002,39.070000,36.750000,38.570000,38.570000,1667301
2016-08-01,38.770000,39.060001,37.880001,38.669998,38.669998,1347912
2016-09-01,38.889999,39.220001,37.619999,38.709999,38.709999,2090107
2016-10-01,38.709999,39.610001,38.270000,38.910000,38.910000,1860511
2016-11-01,38.930000,41.060001,37.580002,41.000000,41.000000,3432814
2016-12-01,40.700001,42.939999,40.250000,42.180000,42.180000,3952652
2017-01-01,42.060001,43.009998,41.770000,41.770000,41.770000,3149576
2017-02-01,42.130001,44.450001,41.840000,43.860001,43.860001,2375183
2017-03-01,44.250000,44.720001,42.639999,44.070000,44.070000,2807261
2017-04-01,44.169998,44.369999,43.389999,43.799999,43.799999,2305368
2017-05-01,43.799999,44.349998,42.750000,43.310001,43.310001,3369549
2017-06-01,43.430000,44.369999,42.869999,42.900002,42.900002,2378635
2017-07-01,43.049999,43.639999,42.480000,42.549999,42.549999,1658620
2017-08-01,42.700001,42.980000,40.980000,42.200001,42.200001,2033939
2017-09-01,42.340000,43.529999,41.700001,43.410000,43.410000,1724227
2017-10-01,43.660000,45.090000,43.630001,44.889999,44.889999,2010868
2017-11-01,45.110001,45.529999,43.799999,44.799999,44.799999,1723896
2017-12-01,44.799999,45.930000,44.320000,45.430000,45.430000,2505826
2018-01-01,45.430000,46.895000,44.870998,45.868999,45.868999,2628581
2018-02-01,46.101002,46.112999,42.542000,45.053001,45.053001,5112398
2018-03-01,44.766998,45.321999,42.349998,43.403000,43.403000,4122275
2018-04-01,43.403000,45.155998,42.430000,45.098000,45.098000,2367604
2018-05-01,45.098000,47.228001,44.500000,46.741001,46.741001,3290529
2018-06-01,46.810001,48.187000,46.301998,46.839001,46.839001,2669248
2018-07-01,46.289001,48.611000,46.270000,47.997002,47.997002,2098894
2018-08-01,48.119999,49.134998,47.735001,48.903999,48.903999,2303423
2018-09-01,48.955002,49.342999,48.028000,49.259998,49.259998,3313761
2018-10-01,49.460999,49.638000,45.090000,46.841000,46.841000,3942736
2018-11-01,46.622002,48.066002,45.222000,47.036999,47.036999,3950996
2018-12-01,48.064999,48.097000,41.819000,43.098999,43.098999,4320733
2019-01-01,43.098999,46.497002,42.290001,46.497002,46.497002,3570703
2019-02-01,46.612999,48.757999,46.362000,48.346001,48.346001,2828657
2019-03-01,48.529999,49.592999,47.860001,49.556000,49.556000,3809025
2019-04-01,49.910000,51.674000,49.868000,51.362000,51.362000,2864661
2019-05-01,51.362000,51.549999,48.569000,48.903999,48.903999,3947384
2019-06-01,48.499001,51.466000,48.230999,50.810001,50.810001,2817706
2019-07-01,51.720001,53.256001,51.430000,52.644001,52.644001,3327311
2019-08-01,52.500000,52.962002,49.195999,51.776001,51.776001,4174215
2019-09-01,51.745998,53.770000,51.459999,53.448002,53.448002,3098792
